jour,gain_fcr_eur,gain_afrr_symetrique_eur,gain_afrr_hausse_eur,gain_afrr_baisse_eur,gain_mfrr_hausse_eur,gain_mfrr_baisse_eur,gain_total_eur
2023-11-05,200.5,1058.8799999999999,,,29.743958,,1289.123958
2023-11-06,312.0,1058.8799999999999,,,150.392645,,1521.2726449999998
2023-11-07,528.56,1058.8799999999999,,,199.496426,,1786.9364259999998
2023-11-08,434.61,1058.8799999999999,,,81.625978,,1575.1159779999998
2023-11-09,386.62,1058.8799999999999,,,80.379936,,1525.879936
2023-11-10,291.28000000000003,1058.8799999999999,,,60.0,,1410.1599999999999
2023-11-11,355.105,1058.8799999999999,,,68.78750000000001,,1482.7724999999998
2023-11-12,316.86,1058.8799999999999,,,40.30077,,1416.0407699999998
2023-11-13,382.1,1058.8799999999999,,,90.11243599999999,,1531.092436
2023-11-14,513.95375,1058.8799999999999,,,81.36,,1654.1937499999997
2023-11-15,610.14,1058.8799999999999,,,113.779968,,1782.799968
2023-11-16,388.88,1058.8799999999999,,,154.62,,1602.3799999999997
2023-11-17,270.84000000000003,1058.8799999999999,,,265.699968,,1595.4199679999997
2023-11-18,250.165,1058.8799999999999,,,39.999936,,1349.0449359999998
2023-11-19,123.62,1058.8799999999999,,,11.005176,,1193.505176
2023-11-20,434.08,1058.8799999999999,,,149.16,,1642.12
2023-11-21,325.45,1058.8799999999999,,,108.34952,,1492.67952
2023-11-22,321.565,1058.8799999999999,,,100.082436,,1480.5274359999999
2023-11-23,505.14,1058.8799999999999,,,52.08,,1616.1
2023-11-24,399.04,1058.8799999999999,,,65.87476,,1523.7947599999998
2023-11-25,478.675,1058.8799999999999,,,40.132468,,1577.6874679999999
2023-11-26,440.315,1058.8799999999999,,,99.99993599999999,,1599.1949359999999
2023-11-27,315.01,1058.8799999999999,,,99.99993599999999,,1473.8899359999998
2023-11-28,335.76,1058.8799999999999,,,170.57999999999998,,1565.2199999999998
2023-11-29,413.79375,1058.8799999999999,,,353.23726,,1825.9110099999998
2023-11-30,263.21875,1058.8799999999999,,,543.4183330000001,,1865.517083
2023-12-01,305.46500000000003,1058.8799999999999,,,99.99993599999999,,1464.3449359999997
2023-12-02,322.505,1058.8799999999999,,,94.854166,,1476.2391659999998
2023-12-03,319.47249999999997,1058.8799999999999,,,30.0,,1408.3525
2023-12-04,172.9225,1058.8799999999999,,,99.99993599999999,,1331.8024359999997
2023-12-05,258.445,1058.8799999999999,,,80.208301,,1397.533301
2023-12-06,351.1,1058.8799999999999,,,495.387468,,1905.367468
2023-12-07,279.58,1058.8799999999999,,,112.14000000000001,,1450.6
2023-12-08,248.54,1058.8799999999999,,,86.799936,,1394.219936
2023-12-09,170.15375,1058.8799999999999,,,13.471810999999999,,1242.5055609999997
2023-12-10,221.38,1058.8799999999999,,,30.789551,,1311.0495509999998
2023-12-11,201.88,1058.8799999999999,,,260.839968,,1521.5999679999998
2023-12-12,267.04,1058.8799999999999,,,165.780593,,1491.7005929999998
2023-12-13,220.935,1058.8799999999999,,,342.766458,,1622.5814579999999
2023-12-14,228.92000000000002,1058.8799999999999,,,197.963895,,1485.763895
2023-12-15,228.33,1058.8799999999999,,,199.99996800000002,,1487.209968
2023-12-16,168.26,1058.8799999999999,,,50.31559300000001,,1277.455593
2023-12-17,210.54,1058.8799999999999,,,32.431602999999996,,1301.8516029999998
2023-12-18,194.54,1058.8799999999999,,,156.06,,1409.4799999999998
2023-12-19,96.56,1058.8799999999999,,,155.288125,,1310.7281249999999
2023-12-20,146.22,1058.8799999999999,,,93.6,,1298.6999999999998
2023-12-21,146.74,1058.8799999999999,,,99.99993599999999,,1305.6199359999998
2023-12-22,156.28,1058.8799999999999,,,53.699999999999996,,1268.86
2023-12-23,169.6425,1058.8799999999999,,,15.620769999999998,,1244.1432699999998
2023-12-24,117.64,1058.8799999999999,,,9.42,,1185.94
2023-12-25,125.785,1058.8799999999999,,,9.319968,,1193.984968
2023-12-26,184.995,1058.8799999999999,,,49.239936,,1293.114936
2023-12-27,117.64,1058.8799999999999,,,61.86,,1238.3799999999999
2023-12-28,142.4,1058.8799999999999,,,23.78077,,1225.06077
2023-12-29,147.12,1058.8799999999999,,,15.364311,,1221.364311
2023-12-30,92.83875,1058.8799999999999,,,19.317436,,1171.036186
2023-12-31,89.36,1058.8799999999999,,,23.379936,,1171.6199359999998
2024-01-01,84.76,1060.78,,,22.519968000000002,,1168.059968
2024-01-02,74.4,1060.8000000000002,,,60.0,,1195.2000000000003
2024-01-03,89.0125,1060.8000000000002,,,139.166635,,1288.9791350000003
2024-01-04,85.38,1060.8000000000002,,,216.23746799999998,,1362.4174680000003
2024-01-05,84.435,1060.8000000000002,,,308.596218,,1453.8312180000003
2024-01-06,63.23875,1060.8000000000002,,,73.405833,,1197.4445830000002
2024-01-07,79.32,1060.8000000000002,,,33.519936,,1173.639936
2024-01-08,53.08,1060.8000000000002,,,209.09181099999998,,1322.9718110000001
2024-01-09,51.36,1060.8000000000002,,,367.359936,,1479.5199360000001
